;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;#7.13;28,44;
;A02;FAM;Pum1;Unkn;#7.13;28,82;
;A03;FAM;Tbp;Unkn;#7.13;30,87;
;A04;FAM;Il6;Unkn;#7.13;36,17;
;A05;FAM;Il8;Unkn;#7.13;35,49;
;A06;FAM;Runx2;Unkn;#7.13;28,70;
;A07;FAM;Sparc;Unkn;#7.13;21,47;
;A08;FAM;Spp1;Unkn;#7.13;22,04;
;A09;FAM;Sp7;Unkn;#7.13;33,11;
;A10;FAM;Bmp2;Unkn;#7.13;35,07;
;A11;FAM;Hprt1;Unkn;NT;;
;A12;FAM;Sp7;Unkn;NT;;
;B01;FAM;Hprt1;Unkn;#7.13;28,30;
;B02;FAM;Pum1;Unkn;#7.13;28,67;
;B03;FAM;Tbp;Unkn;#7.13;30,75;
;B04;FAM;Il6;Unkn;#7.13;37,30;
;B05;FAM;Il8;Unkn;#7.13;36,24;
;B06;FAM;Runx2;Unkn;#7.13;28,66;
;B07;FAM;Sparc;Unkn;#7.13;21,42;
;B08;FAM;Spp1;Unkn;#7.13;22,01;
;B09;FAM;Sp7;Unkn;#7.13;33,16;
;B10;FAM;Bmp2;Unkn;#7.13;34,31;
;B11;FAM;Pum1;Unkn;NT;;
;B12;FAM;Bmp2;Unkn;NT;;
;C01;FAM;Hprt1;Unkn;#7.14;28,73;
;C02;FAM;Pum1;Unkn;#7.14;30,30;
;C03;FAM;Tbp;Unkn;#7.14;31,38;
;C04;FAM;Il6;Unkn;#7.14;37,29;
;C05;FAM;Il8;Unkn;#7.14;37,26;
;C06;FAM;Runx2;Unkn;#7.14;30,19;
;C07;FAM;Sparc;Unkn;#7.14;22,50;
;C08;FAM;Spp1;Unkn;#7.14;22,47;
;C09;FAM;Sp7;Unkn;#7.14;34,99;
;C10;FAM;Bmp2;Unkn;#7.14;35,13;
;C11;FAM;Tbp;Unkn;NT;;
;D01;FAM;Hprt1;Unkn;#7.14;28,67;
;D02;FAM;Pum1;Unkn;#7.14;30,45;
;D03;FAM;Tbp;Unkn;#7.14;31,51;
;D04;FAM;Il6;Unkn;#7.14;38,29;
;D05;FAM;Il8;Unkn;#7.14;36,34;
;D06;FAM;Runx2;Unkn;#7.14;30,18;
;D07;FAM;Sparc;Unkn;#7.14;22,44;
;D08;FAM;Spp1;Unkn;#7.14;22,45;
;D09;FAM;Sp7;Unkn;#7.14;34,88;
;D10;FAM;Bmp2;Unkn;#7.14;35,48;
;D11;FAM;Il6;Unkn;NT;;
;E01;FAM;Hprt1;Unkn;#7.15;28,19;
;E02;FAM;Pum1;Unkn;#7.15;28,59;
;E03;FAM;Tbp;Unkn;#7.15;30,72;
;E04;FAM;Il6;Unkn;#7.15;38,24;
;E05;FAM;Il8;Unkn;#7.15;36,07;
;E06;FAM;Runx2;Unkn;#7.15;28,53;
;E07;FAM;Sparc;Unkn;#7.15;21,25;
;E08;FAM;Spp1;Unkn;#7.15;22,11;
;E09;FAM;Sp7;Unkn;#7.15;32,68;
;E10;FAM;Bmp2;Unkn;#7.15;34,18;
;E11;FAM;Il8;Unkn;NT;;
;F01;FAM;Hprt1;Unkn;#7.15;28,36;
;F02;FAM;Pum1;Unkn;#7.15;28,78;
;F03;FAM;Tbp;Unkn;#7.15;30,52;
;F04;FAM;Il6;Unkn;#7.15;37,18;
;F05;FAM;Il8;Unkn;#7.15;36,12;
;F06;FAM;Runx2;Unkn;#7.15;28,62;
;F07;FAM;Sparc;Unkn;#7.15;21,27;
;F08;FAM;Spp1;Unkn;#7.15;22,08;
;F09;FAM;Sp7;Unkn;#7.15;33,09;
;F10;FAM;Bmp2;Unkn;#7.15;35,16;
;F11;FAM;Runx2;Unkn;NT;;
;G01;FAM;Hprt1;Unkn;#7.16;28,62;
;G02;FAM;Pum1;Unkn;#7.16;29,07;
;G03;FAM;Tbp;Unkn;#7.16;30,84;
;G04;FAM;Il6;Unkn;#7.16;;
;G05;FAM;Il8;Unkn;#7.16;36,47;
;G06;FAM;Runx2;Unkn;#7.16;28,70;
;G07;FAM;Sparc;Unkn;#7.16;21,50;
;G08;FAM;Spp1;Unkn;#7.16;22,13;
;G09;FAM;Sp7;Unkn;#7.16;33,15;
;G10;FAM;Bmp2;Unkn;#7.16;34,13;
;G11;FAM;Sparc;Unkn;NT;39,71;
;H01;FAM;Hprt1;Unkn;#7.16;28,57;
;H02;FAM;Pum1;Unkn;#7.16;29,09;
;H03;FAM;Tbp;Unkn;#7.16;30,92;
;H04;FAM;Il6;Unkn;#7.16;36,36;
;H05;FAM;Il8;Unkn;#7.16;35,12;
;H06;FAM;Runx2;Unkn;#7.16;28,81;
;H07;FAM;Sparc;Unkn;#7.16;21,62;
;H08;FAM;Spp1;Unkn;#7.16;22,11;
;H09;FAM;Sp7;Unkn;#7.16;33,16;
;H10;FAM;Bmp2;Unkn;#7.16;35,55;
;H11;FAM;Spp1;Unkn;NT;;
