;Well;Fluor;Target;Content;Sample;Cq;SQ;;
;A01;FAM;Hprt1;Unkn;#21.13;28,72004938;;;
;A02;FAM;Pum1;Unkn;#21.13;32,86769222;;;
;A03;FAM;Tbp;Unkn;#21.13;32,10434686;;;
;A04;FAM;Col3a1;Unkn;#21.13;30,65625843;;;
;A05;FAM;Col1a1;Unkn;#21.13;29,45432145;;;
;A06;FAM;Tlr3;Unkn;#21.13;;;;
;A07;FAM;Ddx58/Rig-I;Unkn;#21.13;32,21046037;;;
;A08;FAM;Bmp4;Unkn;#21.13;30,55738535;;;
;A09;FAM;Il1-ß;Unkn;#21.13;;;;
;A10;FAM;Hprt1;NTC;NT;;;;
;A11;FAM;Il1-ß;NTC;NT;;;;
;B01;FAM;Hprt1;Unkn;#21.13;28,69311537;;;
;B02;FAM;Pum1;Unkn;#21.13;32,32526792;;;
;B03;FAM;Tbp;Unkn;#21.13;32,49936586;;;
;B04;FAM;Col3a1;Unkn;#21.13;30,64935306;;;
;B05;FAM;Col1a1;Unkn;#21.13;29,42785429;;;
;B06;FAM;Tlr3;Unkn;#21.13;;;;
;B07;FAM;Ddx58/Rig-I;Unkn;#21.13;32,22746816;;;
;B08;FAM;Bmp4;Unkn;#21.13;30,38423101;;;
;B09;FAM;Il1-ß;Unkn;#21.13;;;;
;B10;FAM;Pum1;NTC;NT;;;;
;C01;FAM;Hprt1;Unkn;#21.14;29,20504466;;;
;C02;FAM;Pum1;Unkn;#21.14;33,07802978;;;
;C03;FAM;Tbp;Unkn;#21.14;32,99598137;;;
;C04;FAM;Col3a1;Unkn;#21.14;30,72777576;;;
;C05;FAM;Col1a1;Unkn;#21.14;28,88794901;;;
;C06;FAM;Tlr3;Unkn;#21.14;;;;
;C07;FAM;Ddx58/Rig-I;Unkn;#21.14;32,26501432;;;
;C08;FAM;Bmp4;Unkn;#21.14;30,8556778;;;
;C09;FAM;Il1-ß;Unkn;#21.14;;;;
;C10;FAM;Tbp;NTC;NT;;;;
;D01;FAM;Hprt1;Unkn;#21.14;29,06533811;;;
;D02;FAM;Pum1;Unkn;#21.14;32,98147934;;;
;D03;FAM;Tbp;Unkn;#21.14;32,74536691;;;
;D04;FAM;Col3a1;Unkn;#21.14;30,80625856;;;
;D05;FAM;Col1a1;Unkn;#21.14;28,86987045;;;
;D06;FAM;Tlr3;Unkn;#21.14;;;;
;D07;FAM;Ddx58/Rig-I;Unkn;#21.14;32,18304012;;;
;D08;FAM;Bmp4;Unkn;#21.14;30,78698228;;;
;D09;FAM;Il1-ß;Unkn;#21.14;;;;
;D10;FAM;Col3a1;NTC;NT;;;;
;E01;FAM;Hprt1;Unkn;#21.15;28,84093482;;;
;E02;FAM;Pum1;Unkn;#21.15;32,16870347;;;
;E03;FAM;Tbp;Unkn;#21.15;32,3600984;;;
;E04;FAM;Col3a1;Unkn;#21.15;29,90461425;;;
;E05;FAM;Col1a1;Unkn;#21.15;28,4239802;;;
;E06;FAM;Tlr3;Unkn;#21.15;;;;
;E07;FAM;Ddx58/Rig-I;Unkn;#21.15;32,34536001;;;
;E08;FAM;Bmp4;Unkn;#21.15;30,01631908;;;
;E09;FAM;Il1-ß;Unkn;#21.15;;;;
;E10;FAM;Col1a1;NTC;NT;;;;
;F01;FAM;Hprt1;Unkn;#21.15;28,92687693;;;
;F02;FAM;Pum1;Unkn;#21.15;32,33401826;;;
;F03;FAM;Tbp;Unkn;#21.15;32,51908981;;;
;F04;FAM;Col3a1;Unkn;#21.15;30,07391875;;;
;F05;FAM;Col1a1;Unkn;#21.15;28,5236864;;;
;F06;FAM;Tlr3;Unkn;#21.15;;;;
;F07;FAM;Ddx58/Rig-I;Unkn;#21.15;32,44650451;;;
;F08;FAM;Bmp4;Unkn;#21.15;30,25490724;;;
;F09;FAM;Il1-ß;Unkn;#21.15;;;;
;F10;FAM;Tlr3;NTC;NT;;;;
;G01;FAM;Hprt1;Unkn;#21.16;30,25064151;;;
;G02;FAM;Pum1;Unkn;#21.16;35,48161675;;;
;G03;FAM;Tbp;Unkn;#21.16;35,13661712;;;
;G04;FAM;Col3a1;Unkn;#21.16;33,43998159;;;
;G05;FAM;Col1a1;Unkn;#21.16;30,56947953;;;
;G06;FAM;Tlr3;Unkn;#21.16;;;;
;G07;FAM;Ddx58/Rig-I;Unkn;#21.16;34,13205563;;;
;G08;FAM;Bmp4;Unkn;#21.16;32,27265732;;;
;G09;FAM;Il1-ß;Unkn;#21.16;;;;
;G10;FAM;Ddx58/Rig-I;NTC;NT;;;;
;H01;FAM;Hprt1;Unkn;#21.16;30,39583313;;;
;H02;FAM;Pum1;Unkn;#21.16;34,51812373;;;
;H03;FAM;Tbp;Unkn;#21.16;35,74097233;;;
;H04;FAM;Col3a1;Unkn;#21.16;33,42176705;;;
;H05;FAM;Col1a1;Unkn;#21.16;30,57636247;;;
;H06;FAM;Tlr3;Unkn;#21.16;;;;
;H07;FAM;Ddx58/Rig-I;Unkn;#21.16;34,08987165;;;
;H08;FAM;Bmp4;Unkn;#21.16;32,13176543;;;
;H09;FAM;Il1-ß;Unkn;#21.16;;;;
;H10;FAM;Bmp4;NTC;NT;;;;
;;;;;;;;;
;;;;;;;;;
