;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;WT young control;;
;A02;FAM;Pum1;Unkn;WT young control;;
;A03;FAM;Tbp;Unkn;WT young control;;
;A04;FAM;Col3a1;Unkn;WT young control;;
;A05;FAM;Col1a1;Unkn;WT young control;;
;A06;FAM;Tlr3;Unkn;WT young control;;
;A07;FAM;Ddx58/Rig-I;Unkn;WT young control;;
;A08;FAM;Ifih-1/Mda5;Unkn;WT young control;;
;A09;FAM;Bmp4;Unkn;WT young control;;
;A10;FAM;Il1-�;Unkn;WT young control;;
;A11;FAM;Tlr 3 Ex 4-5;Unkn;WT young control;;
;B01;FAM;Hprt1;Unkn;WT young control;;
;B02;FAM;Pum1;Unkn;WT young control;;
;B03;FAM;Tbp;Unkn;WT young control;;
;B04;FAM;Col3a1;Unkn;WT young control;;
;B05;FAM;Col1a1;Unkn;WT young control;;
;B06;FAM;Tlr3;Unkn;WT young control;;
;B07;FAM;Ddx58/Rig-I;Unkn;WT young control;;
;B08;FAM;Ifih-1/Mda5;Unkn;WT young control;;
;B09;FAM;Bmp4;Unkn;WT young control;;
;B10;FAM;Il1-�;Unkn;WT young control;;
;B11;FAM;Tlr 3 Ex 4-5;Unkn;WT young control;;
;C01;FAM;Hprt1;Unkn;WT young 2.5 µg/ml polyIC;28,95920335;
;C02;FAM;Pum1;Unkn;WT young 2.5 µg/ml polyIC;32,09416788;
;C03;FAM;Tbp;Unkn;WT young 2.5 µg/ml polyIC;31,91906085;
;C04;FAM;Col3a1;Unkn;WT young 2.5 µg/ml polyIC;29,34184107;
;C05;FAM;Col1a1;Unkn;WT young 2.5 µg/ml polyIC;31,14621865;
;C06;FAM;Tlr3;Unkn;WT young 2.5 µg/ml polyIC;30,80457927;
;C07;FAM;Ddx58/Rig-I;Unkn;WT young 2.5 µg/ml polyIC;30,96162452;
;C08;FAM;Ifih-1/Mda5;Unkn;WT young 2.5 µg/ml polyIC;30,83407652;
;C09;FAM;Bmp4;Unkn;WT young 2.5 µg/ml polyIC;30,54757949;
;C10;FAM;Il1-�;Unkn;WT young 2.5 µg/ml polyIC;;
;C11;FAM;Tlr 3 Ex 4-5;Unkn;WT young 2.5 µg/ml polyIC;31,86210942;
;D01;FAM;Hprt1;Unkn;WT young 2.5 µg/ml polyIC;29,01661025;
;D02;FAM;Pum1;Unkn;WT young 2.5 µg/ml polyIC;32,3628417;
;D03;FAM;Tbp;Unkn;WT young 2.5 µg/ml polyIC;32,08024833;
;D04;FAM;Col3a1;Unkn;WT young 2.5 µg/ml polyIC;29,31614341;
;D05;FAM;Col1a1;Unkn;WT young 2.5 µg/ml polyIC;31,12860991;
