;Well;Fluor;Target;Content;Sample;Cq;SQ;
;A01;FAM;Hprt1;Unkn;WT young5nM CUCPT4a;30,20865893;;
;A02;FAM;Pum1;Unkn;WT young5nM CUCPT4a;31,20876632;;
;A03;FAM;Tbp;Unkn;WT young5nM CUCPT4a;32,10740611;;
;A04;FAM;Col3a1;Unkn;WT young5nM CUCPT4a;28,46560305;;
;A05;FAM;Col1a1;Unkn;WT young5nM CUCPT4a;27,55952617;;
;A06;FAM;Tlr3 Ex 3-4;Unkn;WT young5nM CUCPT4a;30,55825186;;
;A07;FAM;Ddx58/Rig-I;Unkn;WT young5nM CUCPT4a;31,38645846;;
;A08;FAM;Ifih-1/Mda5;Unkn;WT young5nM CUCPT4a;31,66303338;;
;A09;FAM;Bmp4;Unkn;WT young5nM CUCPT4a;29,98156336;;
;A10;FAM;Il1-�;Unkn;WT young5nM CUCPT4a;;;
;A11;FAM;Tlr 3 Ex 4-5;Unkn;WT young5nM CUCPT4a;31,82833601;;
;A12;FAM;Bmp4;NTC;NT;;;
;B01;FAM;Hprt1;Unkn;WT young5nM CUCPT4a;30,09285009;;
;B02;FAM;Pum1;Unkn;WT young5nM CUCPT4a;31,25720842;;
;B03;FAM;Tbp;Unkn;WT young5nM CUCPT4a;32,26345527;;
;B04;FAM;Col3a1;Unkn;WT young5nM CUCPT4a;28,40750758;;
;B05;FAM;Col1a1;Unkn;WT young5nM CUCPT4a;27,68222496;;
;B06;FAM;Tlr3 Ex 3-4;Unkn;WT young5nM CUCPT4a;30,67230866;;
;B07;FAM;Ddx58/Rig-I;Unkn;WT young5nM CUCPT4a;31,24372325;;
;B08;FAM;Ifih-1/Mda5;Unkn;WT young5nM CUCPT4a;31,60587134;;
;B09;FAM;Bmp4;Unkn;WT young5nM CUCPT4a;29,75348043;;
;B10;FAM;Il1-�;Unkn;WT young5nM CUCPT4a;;;
;B11;FAM;Tlr 3 Ex 4-5;Unkn;WT young5nM CUCPT4a;31,58046768;;
;B12;FAM;Il1-�;NTC;NT;;;
;C01;FAM;Hprt1;Unkn;WT young 50nM CUCPT4a;30,54977528;;
;C02;FAM;Pum1;Unkn;WT young 50nM CUCPT4a;32,36840807;;
;C03;FAM;Tbp;Unkn;WT young 50nM CUCPT4a;33,1138408;;
;C04;FAM;Col3a1;Unkn;WT young 50nM CUCPT4a;29,21714961;;
;C05;FAM;Col1a1;Unkn;WT young 50nM CUCPT4a;28,52308811;;
;C06;FAM;Tlr3 Ex 3-4;Unkn;WT young 50nM CUCPT4a;31,78899957;;
;C07;FAM;Ddx58/Rig-I;Unkn;WT young 50nM CUCPT4a;32,46056729;;
;C08;FAM;Ifih-1/Mda5;Unkn;WT young 50nM CUCPT4a;33,12588235;;
;C09;FAM;Bmp4;Unkn;WT young 50nM CUCPT4a;31,01145431;;
;C10;FAM;Il1-�;Unkn;WT young 50nM CUCPT4a;;;
;C11;FAM;Tlr 3 Ex 4-5;Unkn;WT young 50nM CUCPT4a;32,64925204;;
;C12;FAM;Tlr 3 Ex 4-5;NTC;NT;;;
;D01;FAM;Hprt1;Unkn;WT young 50nM CUCPT4a;30,55525551;;
;D02;FAM;Pum1;Unkn;WT young 50nM CUCPT4a;32,25602309;;
;D03;FAM;Tbp;Unkn;WT young 50nM CUCPT4a;33,1197775;;
;D04;FAM;Col3a1;Unkn;WT young 50nM CUCPT4a;29,20727501;;
;D05;FAM;Col1a1;Unkn;WT young 50nM CUCPT4a;28,56671477;;
;D06;FAM;Tlr3 Ex 3-4;Unkn;WT young 50nM CUCPT4a;32,00526179;;
;D07;FAM;Ddx58/Rig-I;Unkn;WT young 50nM CUCPT4a;32,3854311;;
;D08;FAM;Ifih-1/Mda5;Unkn;WT young 50nM CUCPT4a;33,19570139;;
