;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;WT young control;29,70;
;A02;FAM;Pum1;Unkn;WT young control;31,33;
;A03;FAM;Tbp;Unkn;WT young control;32,40;
;A04;FAM;Il6;Unkn;WT young control;37,70;
;A05;FAM;Il8;Unkn;WT young control;35,72;
;A06;FAM;Runx2;Unkn;WT young control;31,24;
;A07;FAM;Sparc;Unkn;WT young control;23,59;
;A08;FAM;Spp1;Unkn;WT young control;22,83;
;A09;FAM;Sp7;Unkn;WT young control;35,05;
;A10;FAM;Bmp2;Unkn;WT young control;34,94;
;A11;FAM;Tlr 3 Ex 5-6;Unkn;WT young control;31,90;
;B01;FAM;Hprt1;Unkn;WT young control;29,54;
;B02;FAM;Pum1;Unkn;WT young control;31,53;
;B03;FAM;Tbp;Unkn;WT young control;32,47;
;B04;FAM;Il6;Unkn;WT young control;36,23;
;B05;FAM;Il8;Unkn;WT young control;36,35;
;B06;FAM;Runx2;Unkn;WT young control;31,14;
;B07;FAM;Sparc;Unkn;WT young control;23,62;
;B08;FAM;Spp1;Unkn;WT young control;22,69;
;B09;FAM;Sp7;Unkn;WT young control;34,85;
;B10;FAM;Bmp2;Unkn;WT young control;34,86;
;B11;FAM;Tlr 3 Ex 5-6;Unkn;WT young control;32,08;
;C01;FAM;Hprt1;Unkn;WT young 2.5 µg/ml polyIC;29,24;
;C02;FAM;Pum1;Unkn;WT young 2.5 µg/ml polyIC;32,82;
;C03;FAM;Tbp;Unkn;WT young 2.5 µg/ml polyIC;33,03;
;C04;FAM;Il6;Unkn;WT young 2.5 µg/ml polyIC;23,55;
;C05;FAM;Il8;Unkn;WT young 2.5 µg/ml polyIC;35,61;
;C06;FAM;Runx2;Unkn;WT young 2.5 µg/ml polyIC;32,58;
;C07;FAM;Sparc;Unkn;WT young 2.5 µg/ml polyIC;26,08;
;C08;FAM;Spp1;Unkn;WT young 2.5 µg/ml polyIC;20,94;
;C09;FAM;Sp7;Unkn;WT young 2.5 µg/ml polyIC;;
;C10;FAM;Bmp2;Unkn;WT young 2.5 µg/ml polyIC;34,17;
;C11;FAM;Tlr 3 Ex 5-6;Unkn;WT young 2.5 µg/ml polyIC;31,84;
;D01;FAM;Hprt1;Unkn;WT young 2.5 µg/ml polyIC;29,13;
;D02;FAM;Pum1;Unkn;WT young 2.5 µg/ml polyIC;32,42;
;D03;FAM;Tbp;Unkn;WT young 2.5 µg/ml polyIC;33,02;
;D04;FAM;Il6;Unkn;WT young 2.5 µg/ml polyIC;23,46;
;D05;FAM;Il8;Unkn;WT young 2.5 µg/ml polyIC;35,58;
;D06;FAM;Runx2;Unkn;WT young 2.5 µg/ml polyIC;32,58;
;D07;FAM;Sparc;Unkn;WT young 2.5 µg/ml polyIC;26,13;
;D08;FAM;Spp1;Unkn;WT young 2.5 µg/ml polyIC;20,93;
;D09;FAM;Sp7;Unkn;WT young 2.5 µg/ml polyIC;;
;D10;FAM;Bmp2;Unkn;WT young 2.5 µg/ml polyIC;33,82;
;D11;FAM;Tlr 3 Ex 5-6;Unkn;WT young 2.5 µg/ml polyIC;31,86;
;E01;FAM;Hprt1;Unkn;WT young 5 µg/ml polyIC;30,41;
;E02;FAM;Pum1;Unkn;WT young 5 µg/ml polyIC;35,50;
;E03;FAM;Tbp;Unkn;WT young 5 µg/ml polyIC;34,70;
;E04;FAM;Il6;Unkn;WT young 5 µg/ml polyIC;23,80;
;E05;FAM;Il8;Unkn;WT young 5 µg/ml polyIC;38,68;
;E06;FAM;Runx2;Unkn;WT young 5 µg/ml polyIC;34,04;
;E07;FAM;Sparc;Unkn;WT young 5 µg/ml polyIC;29,04;
;E08;FAM;Spp1;Unkn;WT young 5 µg/ml polyIC;21,92;
;E09;FAM;Sp7;Unkn;WT young 5 µg/ml polyIC;;
;E10;FAM;Bmp2;Unkn;WT young 5 µg/ml polyIC;35,98;
;E11;FAM;Tlr 3 Ex 5-6;Unkn;WT young 5 µg/ml polyIC;34,42;
;F01;FAM;Hprt1;Unkn;WT young 5 µg/ml polyIC;30,39;
;F02;FAM;Pum1;Unkn;WT young 5 µg/ml polyIC;35,63;
;F03;FAM;Tbp;Unkn;WT young 5 µg/ml polyIC;34,69;
;F04;FAM;Il6;Unkn;WT young 5 µg/ml polyIC;23,83;
;F05;FAM;Il8;Unkn;WT young 5 µg/ml polyIC;38,72;
;F06;FAM;Runx2;Unkn;WT young 5 µg/ml polyIC;34,18;
;F07;FAM;Sparc;Unkn;WT young 5 µg/ml polyIC;29,09;
;F08;FAM;Spp1;Unkn;WT young 5 µg/ml polyIC;21,83;
;F09;FAM;Sp7;Unkn;WT young 5 µg/ml polyIC;;
;F10;FAM;Bmp2;Unkn;WT young 5 µg/ml polyIC;35,42;
;F11;FAM;Tlr 3 Ex 5-6;Unkn;WT young 5 µg/ml polyIC;34,59;
;G01;FAM;Hprt1;Unkn;WT young control;29,59;
;G02;FAM;Pum1;Unkn;WT young control;31,03;
;G03;FAM;Tbp;Unkn;WT young control;31,69;
;G04;FAM;Il6;Unkn;WT young control;36,34;
;G05;FAM;Il8;Unkn;WT young control;36,63;
;G06;FAM;Runx2;Unkn;WT young control;30,84;
;G07;FAM;Sparc;Unkn;WT young control;23,15;
;G08;FAM;Spp1;Unkn;WT young control;22,66;
;G09;FAM;Sp7;Unkn;WT young control;34,17;
;G10;FAM;Bmp2;Unkn;WT young control;34,69;
;G11;FAM;Tlr 3 Ex 5-6;Unkn;WT young control;31,38;
;H01;FAM;Hprt1;Unkn;WT young control;29,69;
;H02;FAM;Pum1;Unkn;WT young control;31,04;
;H03;FAM;Tbp;Unkn;WT young control;31,87;
;H04;FAM;Il6;Unkn;WT young control;36,11;
;H05;FAM;Il8;Unkn;WT young control;35,78;
;H06;FAM;Runx2;Unkn;WT young control;31,08;
;H07;FAM;Sparc;Unkn;WT young control;23,24;
;H08;FAM;Spp1;Unkn;WT young control;22,73;
;H09;FAM;Sp7;Unkn;WT young control;34,49;
;H10;FAM;Bmp2;Unkn;WT young control;34,37;
;H11;FAM;Tlr 3 Ex 5-6;Unkn;WT young control;31,32;
