;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A04;FAM;Col3a1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A05;FAM;Col1a1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A06;FAM;Tlr3;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;38,54;
;A07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;38,09;
;A08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;34,55;
;A09;FAM;Bmp4;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;36,59;
;A10;FAM;Il1-�;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A11;FAM;Hprt1;NTC;NT;;
;A12;FAM;Bmp4;NTC;NT;;
;B01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B04;FAM;Col3a1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B05;FAM;Col1a1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B06;FAM;Tlr3;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;39,59;
