;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,09;
;A02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,77;
;A03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,58;
;A04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;35,00;
;A05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;35,54;
;A06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,32;
;A07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;24,40;
;A08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;22,39;
;A09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;35,76;
;A10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;36,76;
;A11;FAM;Hprt1;NTC;NT;;
;A12;FAM;Sp7;NTC;NT;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,20;
;B02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,02;
;B03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,50;
;B04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;35,58;
;B05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;36,38;
;B06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,43;
;B07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;24,49;
;B08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;22,37;
;B09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;36,49;
;B10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;36,40;
;B11;FAM;Pum1;NTC;NT;;
;B12;FAM;Bmp2;NTC;NT;;
;C01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,17;
;C02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,60;
;C03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,51;
;C04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;34,10;
;C05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;35,31;
;C06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,17;
;C07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;24,19;
;C08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;22,46;
;C09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;36,11;
;C10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;37,34;
;C11;FAM;Tbp;NTC;NT;;
;D01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,20;
;D02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,69;
