;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,26;
;A02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,18;
;A03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,64;
;A04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,77;
;A05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,08;
;A06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;
;A07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,16;
;A08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,60;
;A09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,63;
;A10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;
;A11;FAM;Hprt1;NTC;NT;;
;A12;FAM;Bmp4;NTC;NT;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,48;
;B02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,06;
;B03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,50;
;B04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,84;
;B05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,15;
;B06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;
;B07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,13;
;B08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,69;
;B09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,53;
;B10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;
;B11;FAM;Pum1;NTC;NT;;
;B12;FAM;Il1-�;NTC;NT;;
;C01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,88;
;C02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,43;
;C03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,56;
;C04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,29;
;C05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,67;
;C06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;C07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,10;
;C08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,75;
;C09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,89;
;C10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;C11;FAM;Tbp;NTC;NT;;
;D01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,42;
;D02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,66;
;D03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,63;
;D04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,23;
;D05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,65;
;D06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;D07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,17;
;D08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,59;
;D09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,97;
;D10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;D11;FAM;Col3a1;NTC;NT;;
;E01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,28;
;E02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,29;
;E03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,38;
;E04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,88;
;E05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,36;
;E06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;E07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,87;
;E08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,36;
;E09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,40;
;E10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;E11;FAM;Col1a1;NTC;NT;;
;F01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,52;
;F02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,18;
;F03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,29;
;F04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,94;
;F05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,35;
;F06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;F07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,13;
;F08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,40;
;F09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,43;
;F10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;F11;FAM;Tlr3;NTC;NT;;
;G01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,36;
;G02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,97;
;G03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,18;
;G04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,73;
;G05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,29;
;G06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;G07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,84;
;G08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,26;
;G09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,58;
;G10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;G11;FAM;Ddx58/Rig-I;NTC;NT;;
;H01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,39;
;H02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,25;
;H03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;32,22;
;H04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,81;
;H05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,38;
;H06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;H07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,80;
;H08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,33;
;H09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;31,80;
;H10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;;
;H11;FAM;Ifih-1/Mda5;NTC;NT;;
