;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,79;
;A02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,43;
;A03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;34,11;
;A04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,23;
;A05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,07;
;A06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,13;
;A08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,45;
;A09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,25;
;A10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A11;FAM;Hprt1;Unkn;NT;;
;A12;FAM;Bmp4;Unkn;NT;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,68;
;B02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,30;
;B03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,79;
;B04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,16;
;B05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,05;
;B06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,13;
;B08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,35;
