;Well;Fluor;Target;Content;Sample;Cq;SQ;
;A01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,04476474;;
;A02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,49862538;;
;A03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,32846319;;
;A04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;33,07517058;;
;A05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;36,8553127;;
;A06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,77095528;;
;A07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;21,35788209;;
;A08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;21,21409453;;
;A09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;33,90617651;;
;A10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;34,13302562;;
;A11;FAM;Hprt1;Unkn;NT;;;
;A12;FAM;Sp7;Unkn;NT;;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,10840906;;
;B02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,51056631;;
;B03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,30003682;;
;B04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;33,19032688;;
;B05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;36,84726514;;
;B06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,67149379;;
;B07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;21,35691167;;
;B08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;21,18119694;;
;B09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;34,21235859;;
;B10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;33,80574578;;
;B11;FAM;Pum1;Unkn;NT;;;
;B12;FAM;Bmp2;Unkn;NT;;;
;C01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,11546049;;
;C02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,72112162;;
;C03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,47210511;;
;C04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;33,21453476;;
;C05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;37,20416941;;
;C06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,75347638;;
;C07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;21,40319176;;
;C08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;21,2194912;;
;C09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;33,72470342;;
;C10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;34,07844939;;
;C11;FAM;Tbp;Unkn;NT;;;
;D01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,10992285;;
;D02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,71102347;;
;D03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,41447628;;
;D04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;33,02914189;;
;D05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;38,72858713;;
;D06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,84626743;;
;D07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;21,35806599;;
;D08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;21,17251043;;
;D09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;34,09267939;;
;D10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;34,43915854;;
;D11;FAM;Il6;Unkn;NT;;;
;E01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,32808433;;
;E02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,15684129;;
;E03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,64113401;;
;E04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;33,2791208;;
;E05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;37,7839043;;
;E06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,18128769;;
;E07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;21,85535343;;
;E08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;21,36834596;;
;E09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;33,95158279;;
;E10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;34,40661598;;
;E11;FAM;Il8;Unkn;NT;;;
;F01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;28,37133669;;
;F02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,1760886;;
;F03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;30,72228751;;
;F04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;33,41784443;;
;F05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;38,70435098;;
;F06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;29,39467046;;
;F07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;21,94691755;;
;F08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;21,39978294;;
;F09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;34,73044842;;
;F10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 100ng/ml polyIC Lyovec;34,19625512;;
;F11;FAM;Runx2;Unkn;NT;;;
